ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-04-06 05:09:18-04:00,6801463,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,PositionDirection.Short(),557605714776862,5000000000,896883124755,896498823203,5000000,0,0,0,False,4,894847220000
2022-04-06 05:09:20-04:00,6801464,7UY4buWvsMaFH9i6SYCCa9vFFQFXszbmG3De1CidbBWh,6auuunrtmM2LexquJ7a5R3Z9rWvaVz1PqWAKM6uknCFp,PositionDirection.Short(),11100000000000,99510944,896498823203,896491175597,99510,0,0,0,False,4,894847420000
2022-04-06 05:09:21-04:00,6801465,9PXbLdyXKuU831N9rFCDHNbmv6cMJiSjFdbZcaoX4rRt,7NhqHa3odHgW67kTGbKwdqKkS9fZ3hm7XhfXWYqfYyq4,PositionDirection.Short(),1620928096702334,254257700,15686273050,15685593545,254257,0,0,0,False,6,15650844300
2022-04-06 05:09:28-04:00,6801466,GNXbt1hXLQM43YSNujBVc7eJ2sVHsWwx2KHFYyadzQzC,8T7ZcyKUXGRbHniZL1F8CUCVQL9HqTBmFQjKTznkaAmC,PositionDirection.Short(),100002303074167,290488900,290489065681,290475354439,290488,0,0,0,False,7,290050000000
2022-04-06 05:09:31-04:00,6801467,bhip1a2qNErbUg5CSXgXu1GKbSYG1Xx4UyLYT9JrHKf,Heax813ASeLfPqkyJ28M4A1SiAUgRNDnAHRCfdvyVjLq,PositionDirection.Short(),138942470474027,403580400,290475354439,290456305750,403580,0,0,0,False,7,290050000000
2022-04-06 05:09:38-04:00,6801468,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Short(),42428317488004,529817200,1248758917060,1248710845901,529817,0,0,0,False,0,1246644670000
2022-04-06 05:09:38-04:00,6801469,eAXzwwppBRTsEa7YWMBRhgrDHZ1NgBY6HTGYnn8L5NH,77zyuGe7LXmWxJANxsxwxfidJKaAxfQTmVXogwDcUFav,PositionDirection.Short(),184913164256760,397901300,215192478797,215173095230,397901,0,0,0,False,8,214880261000
2022-04-06 05:09:43-04:00,6801470,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Short(),41956352811405,507000000,1208456403166,1208340895007,507000,0,0,0,False,12,1205717420000
2022-04-06 05:09:45-04:00,6801471,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,PositionDirection.Short(),11100000000000,99510096,896491175597,896483528089,99510,0,0,0,False,4,895038770000
2022-04-06 05:09:47-04:00,6801472,Gn4D5wjymEfsjsma4EJEgikmE1YG1rNVXFvGn82oAkoQ,3gQcaTjJhcCyv9RaHZrWJHmoiDPzf1gsWf34Wy76FtHh,PositionDirection.Short(),11100000000000,99509247,896483528089,896475880678,99509,0,0,0,False,4,895039850000
2022-04-06 05:09:48-04:00,6801473,eAXzwwppBRTsEa7YWMBRhgrDHZ1NgBY6HTGYnn8L5NH,77zyuGe7LXmWxJANxsxwxfidJKaAxfQTmVXogwDcUFav,PositionDirection.Short(),90577773913371,194894700,215173095230,215163601349,194894,0,0,0,False,8,214868286000
2022-04-06 05:09:58-04:00,6801474,EepiqRr24hEEGbeJJitUMTtAxA3kmAwFGMBUiVjxkk9V,D1T7Nt5gqN1g6HwtJtHbr1kVyLXqLhCSQdiS3zPBQkFP,PositionDirection.Short(),8600000000000,98955388,1150647612002,1150640499554,98955,0,0,0,False,3,1152250690000
2022-04-06 05:09:59-04:00,6801475,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Short(),21600396297355,261000000,1208340895007,1208281434379,261000,0,0,0,False,12,1205743890000
2022-04-06 05:09:59-04:00,6801476,BWtsbz2UbEJoiXNL1tLNMb6kg1nWLqZF1Qzo8omD3wf1,4iiJaGtEgSofsvfNE7JAr8YtfsHCstPcC998dFcfgEww,PositionDirection.Short(),11100000000000,99508398,896475880678,896468233365,99508,0,0,0,False,4,895003860000
2022-04-06 05:10:06-04:00,6801477,7UY4buWvsMaFH9i6SYCCa9vFFQFXszbmG3De1CidbBWh,6auuunrtmM2LexquJ7a5R3Z9rWvaVz1PqWAKM6uknCFp,PositionDirection.Short(),11100000000000,99507549,896468233365,896460586150,99507,0,0,0,False,4,894970300000
2022-04-06 05:10:08-04:00,6801478,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Long(),160530116003632,187299800,116664560864,116687043846,187299,0,0,0,False,14,117057000000
2022-04-06 05:10:12-04:00,6801479,HP1ihHVj15EnF5mwFwsWPiQvvght87o81663yVhafTfh,AgeJ26N2sd94SSKXhWVhbcerTebAGvm7LC5E1Krdo3uf,PositionDirection.Short(),11100000000000,99506700,896460586150,896452939033,99506,0,0,0,False,4,894933150000
2022-04-06 05:10:19-04:00,6801480,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Long(),185027928270743,215927600,116687043846,116712965924,215927,0,0,0,False,14,117057000000
2022-04-06 05:10:19-04:00,6801481,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Long(),95703490842050,111704800,116712965924,116726377199,111704,0,0,0,False,14,117057000000
2022-04-06 05:10:19-04:00,6801482,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Short(),130019253219663,1570765864,1208281434379,1207923615760,1570765,0,0,0,False,12,1205735860000
2022-04-06 05:10:19-04:00,6801483,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Short(),40013672404151,483312573,1207923615760,1207813528384,483312,0,0,0,False,12,1205735860000
