ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-31 19:22:44-04:00,410646,D7BeAetuWE7EwDZUSsVaZYeNhcXWqb3i1jFQ7rkM6via,Jb27wejcciC8xpv3s386gutY899PLgi8YZ3edHJ8sGD,9,-3249447632605,83460000000000000,1546957068232,0,1550850487394,1550850487394
2022-03-31 19:22:44-04:00,410647,D7BeAetuWE7EwDZUSsVaZYeNhcXWqb3i1jFQ7rkM6via,Jb27wejcciC8xpv3s386gutY899PLgi8YZ3edHJ8sGD,12,3092282309905,-605799011033114,34409134969366,0,49308001285050,34919581875615
2022-03-31 19:23:28-04:00,410648,5bbzM1bndqbjR1RDsBEdzB9yAPFayh6m1ErUsWHvuej4,2ovzYZtADmKqd9FjzhggErCiCvszPqpYws9jSh6o3e7Q,13,12485225580799,-279990291596691603,-77086154153,1648753204,-72626990405,-72626990405
2022-03-31 19:23:28-04:00,410649,5bbzM1bndqbjR1RDsBEdzB9yAPFayh6m1ErUsWHvuej4,2ovzYZtADmKqd9FjzhggErCiCvszPqpYws9jSh6o3e7Q,8,172535728397,-1999390303629742,91557023342560,1648753302,172012768360237,91565652759642
2022-03-31 19:23:50-04:00,410650,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,J4kGq2xVmSku73SfzjExKgpdJgjfZ6HBFvgKBsxsmPvr,1,-6442634627766,2000000000000,1038474786062955971,1648735209,1038796917794344300,487139956613414523
2022-03-31 19:23:50-04:00,410651,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,J4kGq2xVmSku73SfzjExKgpdJgjfZ6HBFvgKBsxsmPvr,12,5668186292267,-657906427974352,34058032869365,1648735201,49308001285050,34919581875615
2022-03-31 19:24:00-04:00,410652,917KfR3c62e33U3yUWNtqi3AvuqTbcsSk61S78zEjunz,BKLc6i7xgxJjxtyR5BtDn1mzZbX165msR7LmduxCdgK2,0,85243504173,-350211198960511,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:24:00-04:00,410653,917KfR3c62e33U3yUWNtqi3AvuqTbcsSk61S78zEjunz,BKLc6i7xgxJjxtyR5BtDn1mzZbX165msR7LmduxCdgK2,11,1248585755160,-6936776363138130,95047730902440,1648764007,95065730412440,95065730412440
2022-03-31 19:24:00-04:00,410654,917KfR3c62e33U3yUWNtqi3AvuqTbcsSk61S78zEjunz,BKLc6i7xgxJjxtyR5BtDn1mzZbX165msR7LmduxCdgK2,9,-240153051526,-153016113176447126,1551007433644,1648764110,1550850487394,1550850487394
2022-03-31 19:24:00-04:00,410655,917KfR3c62e33U3yUWNtqi3AvuqTbcsSk61S78zEjunz,BKLc6i7xgxJjxtyR5BtDn1mzZbX165msR7LmduxCdgK2,3,1834803126601,4197870351111340,-379715492741910,1648764050,-379759200693160,-438756419484738
