,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
31,67np4AWjFMWZRuvNnW6tVVQqWfzT9X3nvMaEyn36ityr,2WobKrHvenN7m5ctpit6rEH4F5xUFF59akTQPGvpDG8J,,,,,,
32,AgB3AFBiGve1R5EGzYJoXCNeLJixbbTfxndQKJhPQBy9,C8oPjatk7p45o14zx6XC7BM17okohMUvQojeKqtQ96S3,,,,,,
33,BkBWTzhH2bWqKG31xzrUXzbPrS4BLirtjGFUFW9F9vCt,FrT944sHn4dzaNjx4nppfk3RpsvTec7HxcVV1Qr5vxek,,,,,,
34,GfRSrX6r3k1Cosovte788yz48J7ge6E1E9ew2xmGRNiG,DD3Fe5QMi6MjPvVEuACfnhiFCmKx9BVDDD54eXVw3MCQ,,,,,,
35,EHgiSfpfD3swFFoLJCGMZ2ML6mYxPn23XM3Nr1Zgf7Wx,5tpGTQ3Ns4mvw9NQu1Nf2WR4VgddCQQQxBcmvdWr64ij,0.0,1.0,5.0,-0.0001147284623,4015.5913970097586,43581.16460173283
36,EHgiSfpfD3swFFoLJCGMZ2ML6mYxPn23XM3Nr1Zgf7Wx,5tpGTQ3Ns4mvw9NQu1Nf2WR4VgddCQQQxBcmvdWr64ij,1.0,2.0,5.0,-0.0016109839696,332.6120443908528,3103.6932051170425
37,EHgiSfpfD3swFFoLJCGMZ2ML6mYxPn23XM3Nr1Zgf7Wx,5tpGTQ3Ns4mvw9NQu1Nf2WR4VgddCQQQxBcmvdWr64ij,2.0,0.0,7.0,0.0657085030918,13.91904605007601,106.53111348801302
38,ESyDCGZWamnabH3NNvus52X6Z9YAmt3y8oB8zYLmhfX3,9U25LWBU67c9S6L9F4qmjpTkaHqjFgxyuTCqQ7Zqj62g,,,,,,
39,9vAVwfVtdsaZMbeZvoymjHqwASeuM38gfEJkbTVwDqya,duKo8riX1qpX1K1qpgwZniMtUeWqu2eYgchTu5n7Rbu,,,,,,
40,BrmfTqXXPbqMjRrYCkAFET5jnZCLbYqfs7Hoc8zQ13F9,CqC6CUr5rJgzj7vjDA1xtRd62KcucvCuUcayhM93kRXh,0.0,0.0,13.0,0.0665820786735,-1.37524073659583,195.24773421010758
41,AW4Qs4wjuW7MRX3uVLvu6zxq8FhcdCg12V1fcfM4EM3E,94hSotyzLJQcGELk2w8YpZiCZZH3zW7EQgYCaJBHufM6,,,,,,
