,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
8375,2zHutfC4xpEDMHq1nG8ewBfhFDuphEX9KsKgDaVmdbSM,109102.724,90730.0,8780.917,18372.724,0.202
10092,6RicHPpU172jK5bUAkydRb5DsKWpDPtwLPrR7UgXfUX1,154004.113,240000.0,8699.593,-85995.887,-0.358
11071,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,9283.879,1100.0,8492.977,8183.879,7.44
7653,9JYkdQkHpsKvahhLjrdPevjQ9YR5WhirDc8N7imwT7P1,2338.474,-700.0,8483.981,3038.474,inf
19,378AUvZHMiHhGjkggpVvM6maVCdV2yEAjNjbBeZ9uYMG,8269.802,3787.0,8132.615,4482.802,1.184
10095,FTxtGRw4vNScb6Kyg1fJGcBmdujJywGuhLkfPy8amqTi,0.001,-25170.44,7786.957,25170.441,inf
12886,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,6639.429,-19326.57,7700.84,25965.999,inf
10783,DRifT3nJiLPv9FXjDBBDapL6zCxbUgX5uNyW3mrSv2UG,122776.426,95000.0,7279.808,27776.426,0.292
8742,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,288608.481,325132.0,7219.113,-36523.519,-0.112
9818,3a5yxcHXbWLGfnoaVTSUFhNerL97sm7K4axe4Pr4ftfz,1205.277,-7078.547,7201.51,8283.824,inf
3438,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,0.001,-1909.55,6882.454,1909.551,inf
1133,6btFrSpDoGYzifcGxmuesXgHgwvcczcYUdx8CijcDeez,3094.051,-5330.0,6494.567,8424.051,inf
9303,3sJpudtTsrXdQPKyoKtZLAiX8nskkGrc13ux7EzYHet5,1441.623,-7342.786,6028.472,8784.409,inf
2384,DfALqn81JH4JiyA7bDhePeXSeqXf3314H5YnPJo1ymmt,467859.626,633673.0,5848.193,-165813.374,-0.262
7666,85NM1BU9LMvCkZeMgMkaMgabXH6NsWuJxRTEAV7sqmqr,45156.638,-118.0,5749.626,45274.638,inf
433,CnCR7sCivYqgRiT2j2mjETnCRHg9KCqFyoVFLd9C1mQY,48303.691,43994.0,5727.557,4309.691,0.098
3555,DpHu9SpUncfZjwDqHvD2veKj2sHXxTKey37ASKACFtyH,1457.814,-6306.666,5552.321,7764.48,inf
11251,2yH4iJWVSDWHGjm5J95sbsRbHGA81VNPaox8xz8DWQaG,0.001,7797.52,5448.536,-7797.519,-1.0
3446,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,50610.048,35023.09,5266.72,15586.958,0.445
653,HrUr1pRxqXJ72RaSSdv4GXbRWLW32EWgjEtt6uiaQp9v,154658.412,19886.53,5093.145,134771.882,6.777
11597,Fohs4ud9F8mK96naGxFFAHsM6tFw2a5BxP4EyVFRrzUo,5056.226,2500.0,4774.589,2556.226,1.022
4381,HvyrKkodu8B7zP7SHD3ch2PqGixTdYbibK9DadXkrucM,1459.14,-3507.088,4745.268,4966.228,inf
7331,bRjBuWTsf59CLaU1GXgyCVEUYcvLGNkaAPdFXeFjrUN,15852.714,5300.0,4610.915,10552.714,1.991
884,8RcYLmYTfM9ZDc6PfMwWNyP6kMR3iQVe1LG4oki9vPyY,1179.467,-7136.879,4602.856,8316.346,inf
2851,B8cdnwpy5FdDRNX2Wp5Zeux95e53A9cUfdHd5MEdPdTz,6743.385,2500.0,4583.712,4243.385,1.697
11104,7RHNnuw1ieKfACoTy36wQwug15f5NHBe19hdrtQeAx7y,13235.563,3862.0,4422.625,9373.563,2.427
9077,EQtJKfMjVmSoAwv9q5D34Do1YmSBxjsveMisDQT97nQM,1290.584,-4519.43,4282.911,5810.014,inf
11466,PMxN4d6u1Tu7Qczks2bZcati2aLUHh1V599fo9dDhNC,7361.277,5600.0,4178.691,1761.277,0.315
11764,6gNiF839mJ4WE7SL9rBE9W9S46kdec2CvhBngPayfsqN,1427.467,-7099.87,4136.316,8527.337,inf
4742,ALcsCijmdrEJuvr2yckqFNoNKn41QvwftLjJfHkE6E9k,12382.561,5807.12,4070.184,6575.441,1.132
4305,DnkhHbgvf2ztxoQGEf3uUfE2evKm8jZCF8Ygt8SVNFYY,13328.927,5801.0,3981.79,7527.927,1.298
452,BdK5yp3STuVc89QFimzK56T8cRmucTVYsTbmENfZqk12,6758.549,5000.0,3696.973,1758.549,0.352
587,FJjUR8SK7SPpzLjDTENGeaKjcgvnZkQFJdq8nQf8JsuQ,141695.221,74763.0,3690.736,66932.221,0.895
11728,Bj15AJxC22vM6iTBpGRZKXw1Ftc8zNvJaRpjKcmrbJTi,186386.54,162995.0,3655.025,23391.54,0.144
1446,7Ufw4itivftynnniUB6ozo75CrV7gLj5VwApd9qWRKEF,171005.131,206689.0,3537.164,-35683.869,-0.173
8620,BFZiaPZ67GDK55op7V1RrXjXyH9TawyFiaRG1pAvLZb4,0.002,-4296.91,3520.016,4296.912,inf
11859,6awBoNbzNwFkz2SbJqgWWfksY7YZxii4BBtcE7Yzb6wN,4504.818,-2200.0,3465.171,6704.818,inf
9365,5KGwoXu1o4hv3bgrgXxCmGxgHL9yeM9wZYMmaB22Skha,3786.399,1000.0,3370.741,2786.399,2.786
4866,6rgh53R9uuTNdknA9aXMKfkMmkzevzPneqCvqLZFPKQ9,302314.627,318017.0,3350.011,-15702.373,-0.049
8585,uLGchSyZJhYjyaNzmt1trPMSCjucAfZnxc2bVC51eAt,21618.613,5624.88,3312.057,15993.733,2.843
