,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
7970,8MWxdBPJCMY5uYcg4vmcCi96s2gZUrERsx6DNpZmiCeZ,0.003,2.95,2.947,-2.947,-0.999
7071,HfF7RiVgyJfoVyr12C96KpK9oT7Aux5jHK4LvrEUNRf8,0.0,86.62,2.947,-86.62,-1.0
3623,H1x8yFTmdHTiXS5MBXcWp5KJqXwroSoprwSUjBXS5hZw,0.006,-2.48,2.945,2.486,inf
8731,FKEbCGhEdyWi5yYRGjK7p6svLQuzMHvMYLQyP1M2MT8E,0.002,2.6,2.944,-2.598,-0.999
13219,2nDWnzKo9LEotxAHyMXNRGm1ZwQmjf45mb53NDVwWkfY,0.005,3.65,2.943,-3.645,-0.999
8571,GNpfauQrijwLmHsWkf642guDXF5MG7Nb3bb5Mytr23Yw,0.005,59.84,2.942,-59.835,-1.0
2456,6u9L1tUafdzaA9uQxJwHggFoRv1NWaqw1sEbDJqBhBGY,31.413,33.0,2.942,-1.587,-0.048
9527,EeWoVNQcYCfTUYuQuYbCay8d2DXC2J34BGecDCqZ7kxb,0.008,2.92,2.941,-2.912,-0.997
9517,3ynGv4zVh725tiygU9iVLUkrb3JMfp8S3auoAJ6FXr3T,0.003,-40.55,2.941,40.553,inf
7231,B9sTiXRbVPL5yHgnBVTUKkUbdHsvEGaaH7qecpV42FVr,0.005,2.8,2.936,-2.795,-0.998
10105,FETCUT327JXf9ezFkgYZ1fT4qcriQs5cDCUyDhghyqtS,0.008,64.88,2.935,-64.872,-1.0
5186,9XfTY38kygPhVNZQG7ibff375r2c8Awa57Emr5Bf51wk,5.053,6.0,2.931,-0.947,-0.158
599,5b7YLixdgGDCBZCh5VDvG5T4gTPFqJ529hq3RqiSaoFV,0.002,0.63,2.93,-0.628,-0.997
15,H9pFRayNBHTAhsbtGyfs1XXUWGxAbw7SgpT1xdrSRWEY,1066.68,1066.0,2.93,0.68,0.001
8242,96LFGNRXwho2qX8sEWbjtHCmzDFKsYHXWsVX6S5Gd3TF,0.005,-30.4,2.928,30.405,inf
1778,CcV2aMbd36MCH9wKTJPH1wyEUgErHBbT3gBWedPFeMgh,9.844,41.0,2.928,-31.156,-0.76
6841,EQYUWtYbtvN9C9ixiupXPjHyFWHsYa7dUh4DSd6rxbzt,0.0,20.0,2.925,-20.0,-1.0
3511,8c3VPBn2NX9vSToRrwx277GdBfn2MBqKcy1WDi4SPwj,98.952,100.0,2.925,-1.048,-0.01
6125,zLTuMVfVswjMkhyvjaXnvjcKXv5xNk3iSWSjRGpVqXf,0.793,211.0,2.925,-210.207,-0.996
5590,FrovRwqozGJBwYimq1rVMX2mGknR1Z6soKkoKZ7dgjyp,1.605,4.7,2.922,-3.095,-0.659
9675,83DpuzfwNKdZserEVSs4g9iR3WEWGgfUwToH1gP7gFHg,0.009,33.76,2.915,-33.751,-1.0
9756,AvAzgwWFweGKxH7ypRfg1Sw7uhBsuCsTSVTCxyjSWYuv,23.5,26.02,2.914,-2.52,-0.097
9978,GuYZRCEW4JuTStgSZrBBM6hvwKFTQptSwZisFhd6Mvxq,0.006,2.46,2.914,-2.454,-0.998
13279,8z3zKWWiJqZSxSAD7NNdydnnXTRpc55DsbVJbWxbeBJi,0.005,2.94,2.913,-2.935,-0.998
2680,Cyye9ewo1hSs1qEDKWCzBFH5PxCMkp2PQYuVaUTqH5CR,0.004,3.2,2.912,-3.196,-0.999
5261,141ogov29WLpkYKyqHDBRXt9aGJx3hPt8RQnuN8NuozM,0.008,2.88,2.91,-2.872,-0.997
6944,4GHoCSWeTMCaLcAs6e3gHYyGtq7VizCCp5HqdLyJGLkA,0.004,-3.02,2.91,3.024,inf
5090,7moZn8oarBmXSoRZN4UB1HmtN7893RfPEAFyiW5ynBmC,0.007,245.6,2.909,-245.593,-1.0
5139,4wCeintBQhng7mExZMcEGYdX9NdkmuNhYyVqcCo6FSye,10.003,12.98,2.907,-2.977,-0.229
1895,9aqvTmHRMTVQ3vpJ1LzGH7kbxTNGNwvXTMrPA9u3ABVP,0.002,4.54,2.906,-4.538,-1.0
9569,V34VhGxE5BcLmc9gtpAK6UBD91Pr38z8amqTRXdKkJW,1.45,70.0,2.904,-68.55,-0.979
4142,FPqZPuc1dJcepaec4qyghHVQZbQSXHRWnFEQgcuUjKgi,0.002,112.11,2.9,-112.108,-1.0
546,Ex5ERqXjQefrKyhSakUNLddCKiE7sZvQnt3zxjkniv9J,0.007,1.32,2.9,-1.313,-0.995
11084,eLALMwxkvKiUYUcUV22RMwRH7AEnCaoyBQ9SqLNSEYQ,0.005,1.34,2.897,-1.335,-0.996
2615,HutRztBianNUgm9sJDWKUQBmoVyy8y7CfnNk4hHjSkEW,0.0,850.0,2.895,-850.0,-1.0
11709,2QgCtjZFyutb3AFEdESLDpPHKQUG9RvMuTQy5ieDBqQf,0.004,2.64,2.894,-2.636,-0.998
8472,7D1sJwZY5qyg753tNotkjcyWDJhBUVidJ9GY7oPhJvyj,0.026,4.9,2.894,-4.874,-0.995
5370,8W1Yja8xmAgFgZyCm53vPnZDTigHHdgABRsQRX5ycsHZ,0.087,1.0,2.892,-0.913,-0.913
6450,EHERcdsBx1WXqyzAc7dr4p4KdFFpDXV2dT4B6C3Fm99N,0.028,4.5,2.891,-4.472,-0.994
7796,3KDuLkEgdrRgD7S9CkxYSpRuHYJ9A67cJBdyDsdzdBtx,0.001,-0.02,2.889,0.021,inf
9790,BBrgYZ8soHEbBiLq9WQZT4zkyPgum8iHKBSQuNNG96us,0.006,3.65,2.886,-3.644,-0.998
5238,G6nnyFmwnvno22bTHMnymsCF6p81SKR74Y6Z3JHPjX4d,0.008,-29.79,2.885,29.798,inf
2180,2BzBKX1mQsbxtsuEaguNbRH5ZPaSyrxyZZP9PXxHG4Wp,0.076,2.5,2.884,-2.424,-0.97
7619,8DSiP9CwJm3AEcH6uuAYFpArRRDLYpDQgjHEvjkUgfg2,341.782,390.0,2.883,-48.218,-0.124
7234,2TxvmpQ7yqKByDSjn7bA2sa98AvGFtpj8QpDjSrcNHSG,0.002,2.83,2.882,-2.828,-0.999
3735,9YcNCJadxPQZxDEg52tuXrCC4ArhQ3Fs499ywhL7YmBC,0.006,2.93,2.88,-2.924,-0.998
8559,2iHmrYwG4wYoUqX1uZhx1TMAWn3JdUx3idqQ7T5e1eAx,946.974,974.0,2.88,-27.026,-0.028
2668,6kqKSyVVF4xxUbsvBCkY1kt4XcKzb98eSaqNw5fxSLtw,0.0,138.0,2.879,-138.0,-1.0
12115,BtrEXTNHE4BcVUtjRS9a25ne1U2oaYPiQoKXEjbrgwCw,0.002,3.22,2.873,-3.218,-0.999
5711,ELiWxUFEmvUkAtnj8SLv7bqWtAXqPyvqTNqRdUcJQiiU,0.029,0.9,2.873,-0.871,-0.968
13495,AxEwKCT3nhbLAcT7hyAzVWYffGCVDurHbLUsjeUsaXyK,0.006,-19.84,2.872,19.846,inf
1851,5QNguBKvwYAzKqwHLMgKWxHC8JiWwrbW9CZB3RSUBZXb,0.002,2.87,2.872,-2.868,-0.999
8373,3Zo9rg1ZzHQL53tSGv33qecUX33Kk4vEH48NTi7fz7g7,0.526,3.51,2.871,-2.984,-0.85
4161,GwPipFh1Wsvcs8Afh4pQ16azN5S94xb6FSLgPZbv7gCR,0.001,3.36,2.87,-3.359,-1.0
10625,41kmvCx8YnDcQqYgrYAPEXnDaZy3k4M9h2qW2VMEEEsC,0.725,4.0,2.869,-3.275,-0.819
12880,CokGB5bkjPLXHt7rVS3FAC3jTPahrNtWjDPtgPSrywJH,0.005,2.9,2.869,-2.895,-0.998
12630,DskeMD263w7iYuMFiHpfA4LTNgXxpC9YtHKmqsHzaP2J,0.429,4.0,2.868,-3.571,-0.893
9144,5VdVWXQ9YzRJdnwDZyw3NvC1zLG59BCBVRHzm9eeF8hc,0.002,3.0,2.868,-2.998,-0.999
5901,HabA6MLjygaKE6i9Sad4c6B8rnyobMYbtFext51rCmHj,5.383,105.0,2.865,-99.617,-0.949
12546,2bjiHeP82LQ56fEsqR7xEZ9xyyE8LLeeNc7LBvSQm54r,0.0,147.89,2.864,-147.89,-1.0
5490,6QHEt6ijJQykoQmUCMRceoWnki8uguPcMgcJKNbbbQ4P,0.002,3.89,2.864,-3.888,-0.999
2255,58fQuJUj5w1gm3XE9CrVV7g6apVrYeVGPWdestvNMNR4,0.098,3.7,2.855,-3.602,-0.974
3379,BzjqnkaUF1SV6q7H2Zye9kordpFVURL9LQz3Dr1gtJpW,11.632,15.0,2.852,-3.368,-0.225
392,ni3PYq7GWch6HT7yzqAeGBNpLKKwPeNMLCntNZP2sBU,0.047,4.3,2.851,-4.253,-0.989
3232,4dNdjkzFrZpBniCtB8CxHZAmj8rHM7ERFPRFRkvNZCqC,0.004,-13.52,2.85,13.524,inf
10140,6uRrd6hWqGFtttnEnTPqxLCbnr77hjXVSx91RLWLJXiu,0.0,300.0,2.85,-300.0,-1.0
3164,3auYS6i5EdZqVxtoJGwentKFWCE1hkTUAdLpLSK4EuYt,0.009,3.12,2.848,-3.111,-0.997
5095,FAcB9WXEv8SY78Bm54qqGzJSFkVjAKg3BVAuFZbg7dQU,0.004,2.83,2.848,-2.826,-0.999
8457,12EZY4A4XdYbCJiJntxRVzEYrcMZdYc9qRTYdgX9ZSUD,13.093,15.99,2.846,-2.897,-0.181
10631,4tVygRwF18MwbfCjrzmTHyr7bapeeFCxEsT1rLqqnBBf,0.005,2.85,2.845,-2.845,-0.998
13209,DkgACEiHPSQ5yhLLTn2Uz2GxJ5a6gPnfk1RX4ezNLqt3,0.004,2.98,2.841,-2.976,-0.999
3717,2DhC3BTRSnRMsLZpCGowPutDHTqGfCuQNon9quRGHPwH,0.003,-1.36,2.836,1.363,inf
12910,HqXFAhAcFrJb7oDzZbCDx5mcd4gJQMwTrMfL13VvVW4i,64.505,52.0,2.836,12.505,0.24
4583,4M7XECgNotuYef6fXsB659bgvA4LBYq9WrUFZP8jEZ8q,0.001,34.12,2.834,-34.119,-1.0
9347,AzDQzyj4QDWZq7xvtTJxed9kAMEG8rzwb11DKcx27jXp,10.009,12.8,2.83,-2.791,-0.218
12643,2vmaxi2HR3cdaUHwQhoQpnyWnvfcz73LexvNfSgrRyW9,0.01,2.66,2.83,-2.65,-0.996
8802,DENsFT6ZdpY49u447xVXjwxo2Cn3vJXjyvUjoyB8Spoc,5.472,22.6,2.826,-17.128,-0.758
9785,3Tir2PQtohuh4shEj8rCJJ5ot31e3csV7rEtRiWSuiac,0.007,2.84,2.824,-2.833,-0.998
10319,CmUyt6wQHGtA7Hxpjeto6uAdTaUTqaWj4AHJJNTfP1VV,0.008,1.14,2.824,-1.132,-0.993
2825,842NQ9g1B8BeCHsoa12E4uUteNCjLMMQtP5Wsg7FyZDr,0.058,3.2,2.821,-3.142,-0.982
8151,5wtW8knqHd3uu4uwc1EjUbpoA37TGx6Yo2UWSAH8W6nm,0.01,2.83,2.82,-2.82,-0.996
6411,GzkKwMPmQmYMAcYwN1p1THD8mN8Wg7THVszVVWwGPg5W,102.187,98.0,2.819,4.187,0.043
4865,BWoWsmfJcv5v8B1VoiougRcWAGX9kj1rvmuhPvcWWpXw,1691.565,1500.0,2.815,191.565,0.128
12476,6yjPfkAHVeT6pnwwa2iAGnAvmHZc1nirWw1ByjesoTHD,65.023,33.56,2.814,31.463,0.938
11492,DY74NUHgHPdiVgZmS6gKGLvM96wp5phDQCJrnzrvFpwj,0.001,-0.96,2.813,0.961,inf
5537,H5XReTGMhzJXrRVGWCmSv8dQp53gHg9BKiGj39XS3Z3f,0.007,-198.75,2.812,198.757,inf
8166,CioqLhzn7qo1539bJ2aPtVKnJdSf2P1Qrnpf41a7gbAu,1694.913,1500.0,2.812,194.913,0.13
10139,EbAL3PZiXetwYq6t8eF96DRaN9J9e9a7AqeDLUVLGg5Z,1695.4,1500.0,2.811,195.4,0.13
2421,6Q1rYCUFMg3Jf95EfDtPyK4cKFZ2t3koq64coK6haUjV,0.0,936.0,2.808,-936.0,-1.0
3280,7hFcVwu9uZuqmm1uTt5zDtLMUBdWFbqrzgG5xvudY5V3,0.052,4.9,2.808,-4.848,-0.989
5783,GebsQACsQszXVn3NvakJdMrJMcQHiLCBkCQEoq1YpDH1,233.947,235.0,2.807,-1.053,-0.004
11139,9vSUp7JS2AqBzYYCt53MbbVmbPwQV8vpi4HkmF3Dj5as,0.005,2.59,2.805,-2.585,-0.998
7962,4VqUwKjM2eVr6zxqELAJe6gVmYy4fdVbZXXwHdWxC2cZ,0.007,2.95,2.801,-2.943,-0.998
10565,EY42E6GpjP1xUnTUfyttt4ab5STS8XxSsTmaW2VmUdfA,1707.065,1500.0,2.8,207.065,0.138
2135,BKA8tD7bPCL4wS7RyUQpSL9rhB7neWiR1pTCGSQvXDtK,0.007,4.75,2.797,-4.743,-0.999
12676,QJVnDmnE56czS1bqDbfExuVFqoz96ToirvRG1ekkwsX,1709.926,1500.0,2.797,209.926,0.14
8037,2SNV9Q6vzQP5XxxqSrwXpQdRvk45FPiqLXmhNZzbLt1k,0.002,253.52,2.796,-253.518,-1.0
10043,DDfVnNfi27g79bP3zdVpD8QuphKptjEPSa1qb71asR46,1711.934,1500.0,2.795,211.934,0.141
1929,3GRqd3aZ1Lcj7raeJ3m1dDbfxwsMEpbs8J9QZjNTwTHR,1711.456,1500.0,2.795,211.456,0.141
4573,2TB84C39qhZRahPE2kSSLs8Dhr6Y1ebfFn7MTdgPMGPw,100.095,103.0,2.795,-2.905,-0.028
4845,B6ACTvgcTGFMeAMYVgt2K8x1QiXEZxY8zmCxyD3iWkUR,0.023,4.8,2.794,-4.777,-0.995
12263,BiUc9PJus3MU6t4Exo1YmjB8ViDvB2gi8tczrZ8K7FNm,1715.367,1500.0,2.791,215.367,0.144
3826,FRSgykJWjCWcwptRCBBrvtGRmTVwQQbNjvPcquLiAfXF,0.001,2.79,2.788,-2.789,-1.0
7870,BNLS3GAEAnMZwRe3htmsgnGcrqEDSDsKE8GoKsukquwr,0.004,2.79,2.786,-2.786,-0.999
2707,Da6CKqwYmNUvp6HvguFYEST7cBfm4m8C2hp6MwSckCHi,0.007,3.17,2.785,-3.163,-0.998
4250,4sq9WRGHwfhtY16hExB7AnBiGG9kuohGas534gWVQFff,1722.016,1500.0,2.785,222.016,0.148
12009,EDkNF7dY8qqW2zsDd4MCdS94XKU3saQ2edw4DQsmReDU,3.982,3.08,2.784,0.902,0.293
4028,5mCuFjVa3KnLT2pQfmQuVNGVMa8SV1EoEGwNsaGvL3Z9,0.003,3.85,2.782,-3.847,-0.999
3220,4g8qrVHWqdFa6kpjmFyHt6nuYmeumiAvhog4ZNgRW7Ms,1725.733,1500.0,2.781,225.733,0.15
395,FGNMG75v9e3qxBgg85EWgEYErCVrZBzZhchcudvFtcP9,1725.869,1500.0,2.781,225.869,0.151
12731,7kpbSsjRamLDP8ubg4Gj7C4oZ8pBC8BrLMojrj98GapM,0.003,2.92,2.78,-2.917,-0.999
9931,J3rN5xViqnUob5qqvYQ5wfhDqcpgdAsFFxrc2Z81575v,1726.585,1500.0,2.78,226.585,0.151
2246,5yitfj5ihD6vmFkgu2H5P5cgdQRVrbxhvCcEbP85YuDG,1727.566,1500.0,2.779,227.566,0.152
1528,Gk9bNe1DFGQega37ZACu4pJSWSNungQE6gsRVodHRUBL,1729.961,1500.0,2.777,229.961,0.153
7612,oABgpXPmbm2ub1v1rHB1XkHRcv3WYrXfbPWqymFzMWL,269.587,222.0,2.776,47.587,0.214
3535,8cb7vqFA37wTs3U1k5DHaXzvv1At8Jrie8PXtanN63VQ,0.075,1.5,2.776,-1.425,-0.95
4247,6tvV5vzqREJ6b4QKrUuPUHfwXzfnXxHG1Rbjtk17NfDr,0.0,70.55,2.773,-70.55,-1.0
4507,GKKRAsYGdcf47eFThG4KwhNv7egeHRuc2wmTh4kqpego,5.795,200.0,2.773,-194.205,-0.971
11221,HNCzkUenFbmhtjga5Vc7Ks2iWuQ7LTfKcm56Jzz8jpFJ,0.005,2.78,2.773,-2.775,-0.998
13403,zAAtj7eVkKqtEQLJhytSA1MYCXkKkCQ4EcoNkcC3RSZ,0.003,2.83,2.769,-2.827,-0.999
10051,3xETGkFVrQBhmXp7VfNCrAnFh44ji7bpL9XW98Vyy4bT,0.001,2.99,2.769,-2.989,-1.0
8532,GQ2sWsRDvdbEb94z19UvvbbadxiKHAFAEkxD7DeCnYUL,214.764,170.0,2.769,44.764,0.263
5248,EoF2xyyYVS37TNC3yg1aLbgi2dLVbfaDXSahHh1mij9F,0.656,3.62,2.769,-2.964,-0.819
8400,4gKVWKve2FepBX3s5YW4KojCaNGCoRL49k2mhZJsRuuR,0.002,2.77,2.768,-2.768,-0.999
259,AUgvLzZ8P4NU9ate8aADECvsQKpjDhMPsjM254oXsRe8,0.049,0.2,2.768,-0.151,-0.755
13352,8exSYKLZvPwxyt2cQ5DyKuHLaguqb9n1csemim1T5ahB,0.005,2.82,2.767,-2.815,-0.998
5123,9q5G6zA75KRYtsmfs1csKmu1iQ6ayedoU9juEMKrt4Yh,0.003,-1.23,2.766,1.233,inf
847,GAxbZ8HXGFVm7qHaiKoJ768D5WFC6sx8ozCbKxMBUHLq,0.004,2.7,2.765,-2.696,-0.999
7309,ADmMkB6mZup9yx9D4yfJcpnEWpTw9GM7FwQMrgugN2oH,0.009,2.81,2.765,-2.801,-0.997
12520,CH6pzceCvwJs3gnUQxYuiVsrMdDvZwen3QdLjsqVdHMU,14.092,16.9,2.765,-2.808,-0.166
10841,3spEsdMNFZfmEBLibJjXUyzrG4jYTfJHtq9aKSbSLJi8,0.078,1.5,2.763,-1.422,-0.948
12513,EKunRMmLufWZi7pkzYePxAXKNyF67KUkErttap9xG899,0.005,-2.25,2.763,2.255,inf
13404,EuVjcHR28ztJBGwiqzYJGqGWtjo3XbWVitfuPLvaH2zc,0.006,3.24,2.763,-3.234,-0.998
1994,2x384dBQQnpMeCNsmpG1Gqn8gpLzwxwuRmYmg4TKHrsE,0.013,-0.9,2.763,0.913,inf
613,3NFRJQxuxpv4hanxfPFahvuHa2cFABormeZ6khsnKAMw,21.796,24.78,2.759,-2.984,-0.12
4098,AYFS4Bs7ezdqgqnAn3vtw6HbAEWEmQdzqge4py3rFVuD,0.005,16.44,2.753,-16.435,-1.0
9753,Gk5jP14YoBrTq5u1KWqRnVeeBfNgJitLcrNJxK19EzVB,0.024,3.2,2.75,-3.176,-0.992
9658,GDbEkpSdKj4fcUHoUqWQG1TQYwdoGsvibq3nHTSjuivc,0.008,3.93,2.749,-3.922,-0.998
13226,E3EMwNqoo3h9RVSTiQyHyQhUyCC1jmXzipzwYvFFLAT2,1.445,4.38,2.745,-2.935,-0.67
4472,ArxDcmEWnxtf3xxyD7SKov1ncPuvHe2vUTu1fkVjhxaC,998.338,1000.0,2.737,-1.662,-0.002
12669,E1CShgy7M9998q9jyzpnHZxHJR6z5hvnshUJt37kVPtG,0.003,102.44,2.737,-102.437,-1.0
6384,DJsLEqsaFgN5QosiLhewrm1V9UykqU1mDf5UMeB1xFZn,0.004,29.26,2.734,-29.256,-1.0
1216,CEw3d6NHdKf4EMkVVvEe9bDa5KzV2QagRBZKmphAHQmq,0.001,2.76,2.731,-2.759,-1.0
7330,BGCZqSycjnhwg4havZnnUTbxtMb7nikHBHGGxmWew71r,0.053,2.6,2.73,-2.547,-0.98
3793,2m97ZMH98TzeV2fWtoBnQZRUY4NhpfdUn8S63kFBknLi,305.444,267.3,2.729,38.144,0.143
6272,2588tgfvYzedFmzL4JmQZBGbu8nnDGTFNKqdd646A86U,0.002,2.41,2.725,-2.408,-0.999
2621,88awjJ2gbtVpwNCSwDLUbmtQM5xqGbJBwgEngdgUT8uV,10.666,11.94,2.722,-1.274,-0.107
1022,9RcTrQVqdv5phRARxFBCp1Yk1fcE2zjA1HqVmTmmDsAk,1.904,1.0,2.721,0.904,0.904
8031,8iytsahuTg9MsymQGQLTDEREYTN6ZYxWbD9ivpSjPSm7,0.029,1.8,2.717,-1.771,-0.984
7907,HELYecwN6Y3hpv6vNqGLXb8zTXiofwWggYrWsuXqRFcx,0.094,6.1,2.716,-6.006,-0.985
8834,FTWvNbCp331xjZbuFjxwZaduXSMv6nNesApzydgheeWn,0.007,2.19,2.715,-2.183,-0.997
2486,GDBQaXVFo2odMDvyW1ev7TpKSpoGJQpNPck3jx9m83Dp,0.98,3.38,2.713,-2.4,-0.71
1926,7YzvojAvnSee6FGASTgWBvjPKkyJdbSTm23Bd4BnPpmB,0.98,3.65,2.713,-2.67,-0.732
962,9tNYsDomFM1DbkJmHLboEqPyFabxNn9y4L9ShWtqHkrc,0.973,3.53,2.71,-2.557,-0.724
8264,EmUmqKq1wkUmbggG1q6Dmi2vBJT8mcd1douCBSKtKf2s,0.003,1.96,2.71,-1.957,-0.998
6108,GNjE4cxDgyEseExtwXthdzNB9ck5MRNj5kHSZgwDJdd4,0.976,3.42,2.705,-2.444,-0.715
9079,CxuYzFK1Yac9SCKDEsKKy8B1JH2MrbWXgjsZirgcovPv,0.972,3.42,2.704,-2.448,-0.716
5453,7mmyActJUFYqLxuckta126RfhKUxd85hoLJF3pcXvnP6,0.979,3.49,2.703,-2.511,-0.719
11345,8qjggboTZ92Y3yP31i24MYnD2ewqcVKXmqEdxV4kU1Nm,0.007,3.17,2.703,-3.163,-0.998
11179,7N8AdZjeJitNJcMeiumMMBqc7f3d8QY4RezJ74nLBFH2,0.008,2.71,2.702,-2.702,-0.997
1264,BYydt1A3cY3nsH26V2wb8CiYhbLwpT2PDaJAmZb5nLTx,0.089,1.8,2.702,-1.711,-0.951
7892,94nXh5D9xt6zSooenJ7V4pXQrcdWkSac2yS6aqyNUrWA,0.002,3.07,2.701,-3.068,-0.999
853,4jnMt2PnyY846ThXVcjDP78oG1KFge3w2NA3XMaLQrGF,0.004,2.69,2.7,-2.686,-0.999
5899,FVXkxCQDhnNdyXV9gNBovCqSEbUVaAXYdNsM6s43JF2S,0.024,2.4,2.698,-2.376,-0.99
6128,J9byePfQRKDpVSBgcJxL4SH7JHp5BsErdtzHtRACJAQ,0.002,2.61,2.697,-2.608,-0.999
438,DP3vxC3nDHdAEBkBZr8BEzTtmciriUNPFKBpxQkrvWiX,0.002,2.37,2.696,-2.368,-0.999
4737,Djctv8nxvThVLEVZBcy96gHetTecgkDbF2QjysQQa6os,0.009,2.58,2.695,-2.571,-0.997
1818,6HufrrRWdkPo2umgxtgvqnDSBMZrU7hbDvrX8qpnbMBQ,81.487,75.824,2.693,5.663,0.075
9341,8hHKkVSTtoaeszv5XTwLr37RUV4K4r9wChUtDHB2ErSS,0.001,3.07,2.692,-3.069,-1.0
4887,8emQrHfpXZkdQRmHbJhfS3113Jq7SeUBHEKfdoXgP89P,0.082,-0.3,2.69,0.382,inf
9643,4nqsW3XCJxzSsDdQzvE3zeM9nqBv8xVdUG8GxFWn6Edf,107.402,182.0,2.69,-74.598,-0.41
4291,8mjXAFut55cNrRmF2z8rtD9QoCanxJCCjqhsmkxKcrgH,0.002,3.52,2.689,-3.518,-0.999
8,4ww5vJSTXGp1pQzghw4W9X6waUWqYPDC7qEfHSUSgT1k,0.0,140.35,2.685,-140.35,-1.0
12345,EDLiwdacPDQJNQsVQ8XeXaWiaFGPGN2Nkbxmrmz2GWR5,0.002,1.81,2.684,-1.808,-0.999
5528,CBEv8v9XZrgFT8UdEdd813XnRVv9R7GB5PLMyG8UWGC8,13.774,210.0,2.683,-196.226,-0.934
8593,Bxoz6dbN8fKPwjXsUrQgwphcvuNvEtBQVHXhuk7qir7u,0.086,-0.6,2.682,0.686,inf
10785,7WzC7C6U4Ctgtm9fWm7NeGuTCMNq3s37W1g8xNgKi6BK,0.008,-4.12,2.68,4.128,inf
9112,2D6RndBA5Mb2CcpqTFycCr49NpxWL9js3TkWwDwtbuD1,10.964,13.83,2.679,-2.866,-0.207
3767,DpTB8Fe1iRgPAsmo62wTzwLYNYQHr5m72rrZGJ4qM4f4,0.007,47.92,2.677,-47.913,-1.0
5606,Hp6Fox4trScNcdz3ELdLU54fZn5Jdcdc6WyXr8THxehV,0.027,6.0,2.677,-5.973,-0.995
4749,GbrJaWw2NHMMnJgt8qjcYEw6nMNafVnmcthiAzXe1KoG,0.764,3.5,2.677,-2.736,-0.782
12628,81hFvq3hxUErvrfwdjUzCrWVCqrkhXXuAWtL4uqpNbbp,0.006,3.3,2.674,-3.294,-0.998
2399,7tDiadLeMrob7yD6R5SDskYn41tnQZVPjEc6W2vv6irK,0.004,41.34,2.672,-41.336,-1.0
3936,3ZKwK9Y4SJ8VkLYqSQqmvqGVGNsS9ePqwac4fkVskPM3,0.01,3.01,2.671,-3.0,-0.997
13475,Gy7PnnNbCijBeaFhQfkVKTrRHMrnXpjhUMUguF5ufSQt,0.007,4.12,2.669,-4.113,-0.998
8983,4TuCwUv1iB2SdJ92kDQih7nAqYYzTH2kphimnyR3BHu4,0.01,2.88,2.669,-2.87,-0.997
1374,CtV9Ja7ia8h2NvwFGEPqaR9E9ujT5UGrnuAAKqCU4vtG,1.022,4.0,2.668,-2.978,-0.744
7274,3pucRFtJi1zbfm4in4es3xBozKczEN4TzZrZtYuStzAD,0.006,1.48,2.666,-1.474,-0.996
5913,EFrLfD6frqs3y99ieU1Xg3BLKUdEjNnrpthJsv82xa75,88.181,177.0,2.666,-88.819,-0.502
8380,9WqNRuCr8r3Au84iE5NkT6v1RGhpmoTDy5ETU3qLuKTU,0.556,3.41,2.665,-2.854,-0.837
1893,6BndYbtYakuaRJohFeegRzeeCsASoYp2BB4mRtrURKPn,10.005,12.85,2.663,-2.845,-0.221
6942,9PHbFnfMBdW2zEiXPMvpKDUuu9ekoRjFDfyKmu3mbbch,0.005,2.69,2.661,-2.685,-0.998
1121,F1KiDYvvRxw7bjMWhhoyZUeaMgqBHZ39aHYCFXZMvZvR,0.005,-8.79,2.661,8.795,inf
9200,AUQJPB7R1b3N81wWc7hMKteYU6scCg7YVMSSXWhVt2bh,0.0,2.66,2.66,-2.66,-1.0
2028,APheyLZXdTVsXmVWtq6daiVgbf7jAGR3M8UhPK7zM23s,12.966,15.86,2.659,-2.894,-0.182
7266,EQBhZGcF6jQn5KctAVGSFyrdoUonCeELyVMvpRmdtKUf,0.007,0.07,2.658,-0.063,-0.9
8283,Dma9qd3oP9g6EtVjvtgem3FgcHoFi2d8g15Agg5xGrG,0.001,2.36,2.657,-2.359,-1.0
7976,BvRx1Ym4qxGzeBD45YanHZuCimj22M5VzsqDNZQ5gKmi,0.004,3.73,2.655,-3.726,-0.999
8536,BGUTMnFJuFiwn8nEs1cwh1ad6Bdze2F1DCbziVihCNkR,0.046,4.0,2.654,-3.954,-0.988
13500,3MDboURz65UbCQf1zUArDzs57FoYeKcB3t1WKHARZNqp,0.065,0.5,2.654,-0.435,-0.87
3752,Adr6kHgwnBWP2tMN3LgxZsKq3fr6ZWfHAnh3BaDigSo3,1.771,4.5,2.652,-2.729,-0.606
1418,2KmyCNwpZg6B6aqF126QzVxyd9quVKob8RZQ9DNxxDxU,0.008,2.66,2.652,-2.652,-0.997
245,HoWExwXLZfLyXfSDCSxeQrX2sxCXmaHg8U8kejiB59ts,0.001,1.98,2.652,-1.979,-0.999
9575,5PuTDNKaSNED77yYALcwKy41Aa7uE7W6yg1KyHVR1yJg,0.005,1.38,2.65,-1.375,-0.996
9388,7dsBVBfZhjNPU3wDFmDprLYrKYPmsXDXLpECoLPHiZ2N,0.0,2.62,2.646,-2.62,-1.0
8154,4BSDjuP9RwumXSJd4X653Z6qeHtgye8CXH36nRT54yBv,818.312,1001.0,2.646,-182.688,-0.183
7246,E5biUzKn2s5frKseCmfWriWjrYMGVtmLrhR9nYhAkVvR,0.091,15.15,2.645,-15.059,-0.994
